OTU,ave_rel_abd
Otu33,0.00135267352857893
Otu5,0.00503610209430047
Otu40,0.000612335565195104
Otu3,0.00733681139837927
Otu12,0.0132139285254612
Otu24,0.00101840361313819
Otu207,0.000678565116177388
Otu54,0.0106085406536077
Otu49,0.0119375902441076
Otu1,0.00239445434217716
Otu78,0.00189886024033756
Otu18,0.0009508783780731
Otu14,0.000985088608906113
Otu223,0.000552880722204779
Otu58,0.00703514382125603
Otu17,0.000709842181637383
Otu9,0.0523072217130675
Otu15,0.0202810935584125
Otu29,0.000811793606649751
Otu69,0.000870447461979817
Otu66,0.00714556374292639
Otu128,0.00199815259719718
Otu8,0.0540623492322084
Otu25,0.00181246157702984
Otu63,0.00785762473169783
Otu2,0.00833839008911691
Otu20,0.0236169089445856
Otu48,0.0102817036501083
Otu95,0.00364454411318632
Otu142,0.00145385932860143
Otu98,0.00379077675828516
Otu45,0.00731769405166254
Otu50,0.0115633894887753
Otu103,0.0030469659673125
Otu4,0.00945296210420347
Otu11,0.0012129348291055
Otu30,0.001631627846739
Otu35,0.0172116534623301
Otu190,0.000841813662649583
Otu122,0.00210782154741246
Otu77,0.00533605793195113
Otu91,0.00398155406624372
Otu194,0.000816401553664607
Otu155,0.00117635179935738
Otu99,0.00350397888739446
Otu67,0.00333139489997005
Otu21,0.0227687457347558
Otu19,0.00051485099091767
Otu13,0.00161994679661246
Otu168,0.00106028443424485
Otu146,0.00136339173460093
Otu150,0.00125647008201354
Otu118,0.00223851001895366
Otu32,0.0182981590543052
Otu123,0.00254053033432995
Otu38,0.0151750086265472
Otu262,0.000519300531846302
Otu64,0.00818301062914001
Otu36,0.0159544126853408
Otu140,0.00146561721559181
Otu177,0.000931812924427018
Otu112,0.00238041446932181
Otu6,0.0548611109534545
Otu31,0.00829020821946487
Otu72,0.00624412346455944
Otu73,0.00605929608162758
Otu27,0.0186532726926958
Otu75,0.00521594424172088
Otu96,0.00373794188844796
Otu23,0.0124986533880609
Otu170,0.00101335415945243
Otu76,0.00556025817267012
Otu115,0.00234953638012162
Otu114,0.00242999797755552
Otu79,0.00492862705356131
Otu57,0.00980955425438784
Otu116,0.00230448622798652
Otu107,0.00278389468194087
Otu160,0.00117783771935521
Otu133,0.00161795392079769
Otu44,0.0125464189059375
Otu175,0.000927163046759537
Otu53,0.0104419232138807
Otu52,0.00464684768309766
Otu105,0.00283927664617942
Otu16,0.0345955500543568
Otu171,0.00100408692108178
Otu89,0.00425640032262919
Otu101,0.00188412192520451
Otu62,0.00861213433790565
Otu121,0.00210685498592527
Otu139,0.00123038452557285
Otu39,0.00225596917524458
Otu43,0.0160685924468954
Otu137,0.00148151861929771
Otu145,0.00139258172654724
Otu132,0.00163792338351979
Otu86,0.00446848370285639
Otu47,0.00168445614859397
Otu224,0.000549920823550138
Otu82,0.00519569920055645
Otu186,0.00091403773536969
Otu437,0.000941322250541574
Otu46,0.0119491498606592
Otu127,0.00196972102125826
Otu178,0.000965982788312999
Otu184,0.000895496736781421
Otu211,0.000654432432793062
Otu195,0.000766498428794138
Otu71,0.00199490532695199
Otu220,0.000548817395547121
Otu201,0.000726837876469588
Otu60,0.00885978679011184
Otu28,0.0180188247962706
Otu109,0.000955672884862088
Otu97,0.0016851960552781
Otu106,0.000861913423905262
Otu59,0.00247451187169758
Otu131,0.00169488541931982
Otu154,0.00119172548708198
Otu117,0.00232382977794064
Otu221,0.000538524760660748
Otu100,0.00245127290713088
Otu51,0.00149543601214744
Otu81,0.00521778967905633
Otu163,0.00113350115584003
Otu110,0.00250393894221765
Otu161,0.0010848766310289
Otu149,0.00125765829402716
Otu188,0.000860489369183104
Otu22,0.0128701926349648
Otu94,0.000521762980642855
Otu151,0.00124659672709216
Otu164,0.0011642526638893
Otu173,0.000678050351619494
Otu157,0.00119156147696063
Otu176,0.000919506561290981
Otu219,0.000567893780451842
Otu124,0.000601400025787822
Otu174,0.000950616770923553
Otu113,0.00242920047660158
Otu68,0.00669310553886587
Otu80,0.00317888531968421
Otu200,0.000717730377214417
Otu7,0.0552626455963639
Otu34,0.0173158756190019
Otu129,0.00188490835649401
Otu70,0.00158636509357716
Otu102,0.00341272362134575
Otu209,0.00069196085354012
Otu93,0.00395051977566314
Otu227,0.00050253222998144
Otu130,0.00178677867298983
Otu120,0.00218728562520694
Otu83,0.00447775190517416
Otu159,0.00115833860902094
Otu104,0.00284156433813706
Otu119,0.00240372126738795
Otu210,0.000685314516187514
Otu92,0.000684175171890899
Otu141,0.00158258932305113
Otu87,0.00432150692620282
Otu204,0.00077616754015944
Otu212,0.000662222477718685
Otu225,0.000518695517648489
Otu143,0.00139290019469582
Otu153,0.00121433638031014
Otu136,0.00135709013732585
Otu192,0.000791100316078108
Otu156,0.00117905523354492
Otu88,0.00136150325447294
Otu208,0.000680108492039222
Otu203,0.000716300902998206
Otu191,0.000838306390202202
Otu144,0.000971569007479736
Otu165,0.00107678998047198
Otu182,0.000654127331285299
Otu199,0.000798525322114524
Otu216,0.00057226790492292
Otu226,0.000521285050190407
Otu172,0.00101351697495032
Otu126,0.00198101278073141
Otu206,0.000706111515310423
Otu198,0.000703525382097793
Otu134,0.00157684786645112
Otu180,0.000900968869761464
Otu181,0.000895378333453592
Otu167,0.00108915820888369
Otu162,0.00111064270923864
Otu189,0.000892231644348481
Otu108,0.00273899471682714
Otu197,0.000809478268492146
Otu222,0.000545514366655818
Otu148,0.00127645575708253
Otu202,0.00071814524776774
Otu229,0.000505367111190749
